post_id,date,likes,comments,reposts,views,attachments,text
2199,2023-10-19 16:33:06,19,0,1,383,0,5
2198,2023-10-19 15:40:35,23,0,3,443,1,286
2196,2023-10-19 12:10:00,21,0,1,390,1,43
2195,2023-10-19 11:30:00,20,0,2,452,1,65
2193,2023-10-19 11:05:00,22,1,3,472,1,36
2191,2023-10-19 10:10:28,19,0,2,319,0,22
2190,2023-10-18 22:15:00,23,0,1,447,1,44
2189,2023-10-18 22:00:00,19,0,2,327,1,170
2187,2023-10-18 20:15:00,22,0,1,647,5,106
2184,2023-10-18 17:15:00,23,0,1,378,4,59
2181,2023-10-18 14:10:00,22,0,4,384,1,198
2180,2023-10-18 12:50:00,23,0,1,406,1,159
2179,2023-10-18 12:35:05,22,0,4,415,1,33
2177,2023-10-18 11:29:42,20,0,3,288,1,90
2176,2023-10-18 10:20:00,20,1,3,326,1,52
2175,2023-10-18 09:31:01,20,0,2,296,0,5
2171,2023-10-17 22:15:57,23,0,2,472,1,45
2169,2023-10-17 20:35:34,19,0,1,372,1,62
2166,2023-10-17 17:15:00,22,0,3,418,2,104
2164,2023-10-17 16:15:09,19,0,1,310,1,87
2162,2023-10-17 12:20:00,20,1,1,358,1,50
2161,2023-10-17 11:30:00,21,0,5,341,1,89
2160,2023-10-17 10:30:00,41,0,4,646,2,65
2158,2023-10-17 09:30:19,20,1,3,327,1,59
2155,2023-10-16 20:30:00,19,0,3,311,2,106
2153,2023-10-16 18:44:56,22,0,7,455,2,139
2152,2023-10-16 18:35:00,19,0,2,322,3,132
2150,2023-10-16 15:45:00,18,0,4,328,3,109
2149,2023-10-16 15:10:00,16,0,2,297,2,127
2148,2023-10-16 14:15:00,19,0,4,312,5,99
2147,2023-10-16 13:30:00,17,0,1,330,1,119
2145,2023-10-16 12:15:00,18,0,1,297,2,347
2143,2023-10-16 10:50:00,16,0,1,361,2,54
2139,2023-10-15 16:27:14,16,0,2,471,1,83
2137,2023-10-14 18:30:00,36,1,11,609,1,20
2136,2023-10-14 17:15:00,18,0,2,400,1,35
2134,2023-10-14 15:30:00,17,0,1,378,1,121
2133,2023-10-14 14:10:00,16,0,3,339,1,143
2132,2023-10-14 13:13:00,18,0,1,354,1,96
2131,2023-10-14 12:00:01,19,0,2,397,1,34
2130,2023-10-14 11:10:25,16,0,1,319,0,46
2127,2023-10-13 19:30:48,16,0,2,324,0,6
2122,2023-10-13 18:00:02,18,0,2,319,1,91
2120,2023-10-13 17:10:59,16,0,1,295,1,84
2118,2023-10-13 16:30:00,17,0,14,373,1,95
2116,2023-10-13 15:30:00,18,0,3,280,2,89
2113,2023-10-12 16:20:00,16,0,1,282,1,80
2112,2023-10-12 14:16:20,17,1,6,387,0,1
2111,2023-10-12 14:14:32,16,0,5,300,0,1
2110,2023-10-12 13:00:19,19,0,2,498,1,12
2109,2023-10-12 13:00:00,22,1,3,509,5,151
2107,2023-10-12 11:30:00,17,0,1,328,1,49
2106,2023-10-12 10:30:00,18,0,1,393,1,65
2103,2023-10-11 20:33:40,17,0,2,294,0,4
2102,2023-10-11 19:30:00,16,0,2,333,1,183
2101,2023-10-11 17:40:00,16,0,3,295,1,98
2100,2023-10-11 16:15:00,16,0,1,296,1,103
2096,2023-10-11 15:00:00,16,0,2,278,1,116
2095,2023-10-11 14:48:54,17,0,2,386,1,68
2093,2023-10-11 11:45:00,18,1,2,336,4,45
2091,2023-10-11 10:15:51,18,2,2,296,0,7
2088,2023-10-10 18:50:00,15,0,2,312,4,70
2087,2023-10-10 14:10:00,16,0,1,297,1,56
2086,2023-10-10 13:00:00,18,0,1,368,1,55
2083,2023-10-10 10:00:02,17,0,1,404,1,149
2079,2023-10-09 21:00:01,18,0,2,392,1,81
2077,2023-10-09 18:30:00,18,0,4,395,1,104
2076,2023-10-09 15:23:00,20,0,2,424,3,73
2075,2023-10-09 15:22:00,18,0,1,327,3,91
2074,2023-10-09 15:21:00,17,0,1,283,3,98
